------------------
Batch FWD:
------------------
model size (# of nodes and edges),SDMLib,eMoflon,BXtend,BXtend,BXtend
1102,0.029,0.166,0.008,0.005,0.005
2202,0.039,0.262,0.005,0.004,0.004
3302,0.037,0.267,0.006,0.006,0.009
4402,0.054,0.376,0.011,0.01,0.009
5502,0.052,0.456,0.007,0.007,0.013
6602,0.061,0.49,0.014,0.015,0.01
7702,0.036,0.52,0.008,0.013,0.018
8802,0.03,0.53,0.019,0.014,0.016
9902,0.052,0.622,0.011,0.014,0.02
11002,0.042,0.589,0.013,0.012,0.015
12102,0.071,0.661,0.009,0.009,0.01
13202,0.055,0.512,0.01,0.01,0.01
14302,0.054,0.576,0.011,0.012,0.011
15402,0.06,0.514,0.009,0.01,0.01
16502,0.046,0.559,0.01,0.01,0.01
17602,0.052,0.617,0.011,0.011,0.011
18702,0.056,0.693,0.014,0.015,0.015
19802,0.08,0.727,0.016,0.016,0.017
20902,0.09,0.758,0.018,0.015,0.014
22002,0.084,0.784,0.016,0.015,0.016
23102,0.097,0.895,0.019,0.019,0.018
24202,0.146,0.925,0.019,0.02,0.02
25302,0.131,0.857,0.017,0.019,0.017
26402,0.154,0.897,0.022,0.021,0.022
27502,0.201,1.182,0.022,0.023,0.023
28602,0.201,1.027,0.02,0.021,0.021
29702,0.166,1.03,0.025,0.026,0.025
30802,0.217,1.192,0.026,0.027,0.027
31902,0.203,1.11,0.023,0.022,0.022
33002,0.173,1.243,0.028,0.028,0.028
34102,0.235,1.314,0.023,0.024,0.024
35202,0.193,1.227,0.029,0.029,0.029
36302,0.262,1.373,0.031,0.031,0.044
37402,0.274,1.418,0.033,0.033,0.033
38502,0.268,1.333,0.027,0.027,0.028
39602,0.237,1.496,0.033,0.035,0.033
40702,0.327,1.437,0.029,0.03,0.03
41802,0.267,1.589,0.036,0.037,0.038
42902,0.372,1.49,0.032,0.032,0.032
------------------
Incr. FWD:
------------------
model size (# of nodes and edges),SDMLib,eMoflon,BXtend,BXtend,BXtend
1102,0.0,0.002,0.002,0.001,0.0
2202,0.004,0.004,0.001,0.001,0.002
3302,0.005,0.005,0.002,0.002,0.001
4402,0.003,0.005,0.002,0.001,0.001
5502,0.004,0.006,0.002,0.002,0.002
6602,0.005,0.008,0.002,0.002,0.002
7702,0.006,0.01,0.002,0.003,0.002
8802,0.006,0.011,0.003,0.004,0.003
9902,0.007,0.014,0.004,0.004,0.004
11002,0.008,0.015,0.003,0.003,0.004
12102,0.007,0.016,0.004,0.004,0.004
13202,0.007,0.018,0.004,0.004,0.004
14302,0.008,0.02,0.005,0.005,0.005
15402,0.011,0.023,0.006,0.006,0.006
16502,0.011,0.025,0.006,0.007,0.007
17602,0.012,0.025,0.005,0.006,0.007
18702,0.011,0.027,0.006,0.007,0.007
19802,0.012,0.029,0.008,0.008,0.008
20902,0.015,0.033,0.009,0.009,0.009
22002,0.016,0.036,0.009,0.009,0.009
23102,0.016,0.037,0.011,0.01,0.01
24202,0.018,0.036,0.009,0.009,0.009
25302,0.014,0.038,0.01,0.009,0.01
26402,0.015,0.043,0.012,0.012,0.012
27502,0.02,0.044,0.011,0.011,0.011
28602,0.016,0.043,0.011,0.011,0.011
29702,0.017,0.048,0.014,0.013,0.013
30802,0.022,0.047,0.012,0.013,0.013
31902,0.018,0.052,0.015,0.014,0.015
33002,0.023,0.054,0.014,0.013,0.014
34102,0.019,0.055,0.014,0.014,0.016
35202,0.024,0.059,0.016,0.016,0.017
36302,0.02,0.058,0.015,0.015,0.015
37402,0.02,0.063,0.018,0.02,0.02
38502,0.031,0.067,0.018,0.019,0.019
39602,0.028,0.07,0.029,0.029,0.023
40702,0.033,0.073,0.02,0.019,0.02
41802,0.03,0.075,0.018,0.018,0.018
42902,0.025,0.074,0.021,0.021,0.021
------------------
Batch BWD:
------------------
model size (# of nodes and edges),SDMLib,eMoflon,BXtend,BXtend,BXtend
1102,0.023,0.309,0.015,0.012,0.008
2202,0.01,0.568,0.013,0.008,0.008
3302,0.018,0.847,0.019,0.02,0.01
4402,0.02,1.462,0.015,0.013,0.013
5502,0.023,2.011,0.02,0.02,0.019
6602,0.02,2.702,0.027,0.032,0.032
7702,0.023,3.553,0.026,0.027,0.027
8802,0.02,4.68,0.043,0.043,0.044
9902,0.03,6.045,0.052,0.055,0.053
11002,0.035,7.078,0.067,0.067,0.068
12102,0.045,8.637,0.08,0.079,0.079
13202,0.045,10.251,0.078,0.077,0.077
14302,0.041,13.35,0.122,0.125,0.126
15402,0.065,14.291,0.135,0.131,0.132
16502,0.063,15.871,0.155,0.154,0.156
17602,0.07,18.688,0.197,0.187,0.182
18702,0.08,20.483,0.17,0.17,0.17
19802,0.073,23.25,0.227,0.229,0.226
20902,0.095,25.539,0.256,0.256,0.255
------------------
Incr. BWD:
------------------
model size (# of nodes and edges),SDMLib,eMoflon,BXtend,BXtend,BXtend
1102,0.001,0.003,0.001,0.001,0.001
2202,0.007,0.004,0.002,0.001,0.002
3302,0.007,0.005,0.001,0.001,0.002
4402,0.006,0.006,0.003,0.003,0.003
5502,0.007,0.007,0.003,0.003,0.003
6602,0.008,0.009,0.004,0.004,0.004
